epoch;accuracy;loss;val_accuracy;val_loss
0;0.43134;1.7859976386260987;0.5076;1.5102008050918578
1;0.56704;1.372657427558899;0.5862;1.297459387588501
2;0.62676;1.193223392906189;0.6161;1.2366147024154663
3;0.65962;1.0882190217590333;0.6453;1.1580889480590821
4;0.68468;1.010392720413208;0.6908;0.9965852354049682
5;0.701;0.9595322057342529;0.6506;1.1143931053161622
6;0.70908;0.9229298997497558;0.6887;1.0077476198196411
7;0.72158;0.8873037056350708;0.6724;1.0563086015701293
8;0.7274;0.8638597976493836;0.6788;1.0205027185440063
9;0.73496;0.8414166641235351;0.6755;1.0538835014343262
10;0.7416;0.820903059387207;0.6976;0.9541549522399903
11;0.7447;0.8097766282463074;0.6431;1.203448828315735
12;0.75178;0.7898151852416992;0.6564;1.1091247512817384
13;0.7552;0.7774564291763306;0.7029;0.9437226325035095
14;0.75992;0.7635329045295716;0.684;0.9922358751296997
15;0.76008;0.7586569033813476;0.7101;0.9289466316223145
16;0.76298;0.7500940168952942;0.7019;0.9481652332305908
17;0.76782;0.7356393780136108;0.6941;0.9860590587615967
18;0.77094;0.7274341962051392;0.6757;1.058592741394043
19;0.77304;0.7200153643035888;0.6432;1.2481529973983765
20;0.7754;0.7147479223251343;0.7019;0.9694806703567505
21;0.7732;0.7120374731254577;0.7042;0.9468410579681397
22;0.77852;0.7033504818916321;0.7305;0.8894320256233216
23;0.78112;0.6974389079284667;0.6814;1.0641231466293335
24;0.78206;0.6919379970741272;0.7279;0.8746777660369873
25;0.78434;0.6841236832427978;0.7349;0.8608313284873962
26;0.78492;0.6824152391052246;0.7076;0.9677880762100219
27;0.78704;0.676828541507721;0.7283;0.8997949207305909
28;0.78698;0.6756217603111268;0.7374;0.8738030149459839
29;0.78926;0.666591059627533;0.7103;0.9564304113388061
