epsilon;loss;accuracy
0.0;2.23145;0.47760
0.005;3.71303;0.22360
0.01;4.94995;0.11850
0.015;5.79471;0.07860
0.02;6.27216;0.06470
0.025;6.45447;0.06320
0.03;6.42651;0.07420
0.035;6.26680;0.09540
0.04;6.03987;0.12350
0.045;5.78814;0.15150
0.05;5.53095;0.17820
0.055;5.27186;0.20160
0.06;5.00569;0.22650
0.065;4.72553;0.25110
0.07;4.42581;0.28000
0.075;4.10306;0.31020
0.08;3.75820;0.34420
0.085;3.39703;0.38050
0.09;3.03025;0.42470
0.095;2.67178;0.47480
0.1;2.33760;0.53040
0.105;2.04017;0.58250
0.11;1.78779;0.63700
0.115;1.58360;0.68420
0.12;1.42500;0.72570
0.125;1.30659;0.75880
0.13;1.22173;0.78520
0.135;1.16393;0.80370
0.14;1.12775;0.81540
0.145;1.10897;0.82160
0.15;1.10472;0.82270
0.155;1.11268;0.82160
0.16;1.13168;0.81570
0.165;1.16084;0.80790
0.17;1.19955;0.79760
0.175;1.24748;0.78330
0.18;1.30450;0.76840
0.185;1.36987;0.74940
0.19;1.44270;0.72990
0.195;1.52149;0.70630
0.2;1.60549;0.68250
0.205;1.69269;0.65340
0.21;1.78094;0.62750
0.215;1.86808;0.60380
0.22;1.95224;0.57830
0.225;2.03135;0.55420
0.23;2.10405;0.53160
0.235;2.16906;0.51330
0.24;2.22584;0.49550
0.245;2.27449;0.48130
0.25;2.31517;0.46740
0.255;2.34862;0.45760
0.26;2.37547;0.44610
0.265;2.39655;0.43520
0.27;2.41307;0.42690
0.275;2.42578;0.41770
0.28;2.43572;0.41240
0.285;2.44387;0.40530
0.29;2.45070;0.39990
0.295;2.45695;0.39490
0.3;2.46311;0.39040
0.305;2.46951;0.38270
0.31;2.47653;0.37660
0.315;2.48414;0.37140
0.32;2.49257;0.36510
0.325;2.50179;0.35900
0.33;2.51173;0.35210
0.335;2.52227;0.34810
0.34;2.53345;0.34070
0.345;2.54516;0.33370
0.35;2.55735;0.32740
0.355;2.57001;0.32150
0.36;2.58295;0.31500
0.365;2.59604;0.30730
0.37;2.60921;0.30290
0.375;2.62236;0.29590
0.38;2.63547;0.28940
0.385;2.64845;0.28430
0.39;2.66127;0.27840
0.395;2.67390;0.27310
0.4;2.68636;0.26680
0.405;2.69864;0.26150
0.41;2.71070;0.25730
0.415;2.72250;0.25350
0.42;2.73400;0.24950
0.425;2.74521;0.24390
0.43;2.75613;0.24000
0.435;2.76677;0.23690
0.44;2.77709;0.23370
0.445;2.78715;0.23120
0.45;2.79696;0.22840
0.455;2.80650;0.22510
0.46;2.81581;0.22150
0.465;2.82482;0.21780
0.47;2.83359;0.21560
0.475;2.84210;0.21340
0.48;2.85041;0.21170
0.485;2.85851;0.20950
0.49;2.86640;0.20710
0.495;2.87409;0.20580
0.5;2.88157;0.20370
0.505;2.88888;0.20300
