epsilon;loss;accuracy
0.0;1.82045;0.58500
0.005;2.27469;0.43040
0.01;2.61776;0.34160
0.015;2.88473;0.29070
0.02;3.09139;0.26130
0.025;3.24922;0.24490
0.03;3.36761;0.23850
0.035;3.45475;0.23840
0.04;3.51846;0.24200
0.045;3.56524;0.24820
0.05;3.59821;0.25690
0.055;3.62158;0.26730
0.06;3.63741;0.27660
0.065;3.64817;0.28560
0.07;3.65699;0.29730
0.075;3.66537;0.30590
0.08;3.67325;0.31370
0.085;3.67926;0.32130
0.09;3.68162;0.33040
0.095;3.67895;0.33670
0.1;3.66972;0.34660
0.105;3.65374;0.35230
0.11;3.63145;0.35660
0.115;3.60325;0.36290
0.12;3.56927;0.36790
0.125;3.53084;0.37230
0.13;3.48919;0.37750
0.135;3.44564;0.38080
0.14;3.40143;0.38540
0.145;3.35781;0.38970
0.15;3.31582;0.39330
0.155;3.27628;0.39690
0.16;3.24061;0.39690
0.165;3.20902;0.40040
0.17;3.18204;0.40280
0.175;3.16012;0.40240
0.18;3.14340;0.40100
0.185;3.13186;0.39920
0.19;3.12575;0.39550
0.195;3.12508;0.39240
0.2;3.12985;0.38670
0.205;3.14027;0.38210
0.21;3.15651;0.37610
0.215;3.17840;0.36950
0.22;3.20542;0.36300
0.225;3.23731;0.35650
0.23;3.27382;0.34830
0.235;3.31472;0.34120
0.24;3.35932;0.33280
0.245;3.40700;0.32470
0.25;3.45687;0.31730
0.255;3.50835;0.30570
0.26;3.56042;0.29630
0.265;3.61211;0.28660
0.27;3.66257;0.27860
0.275;3.71072;0.27140
0.28;3.75569;0.26230
0.285;3.79701;0.25470
0.29;3.83388;0.24920
0.295;3.86588;0.24250
0.3;3.89301;0.23740
0.305;3.91500;0.23110
0.31;3.93155;0.22740
0.315;3.94268;0.22230
0.32;3.94869;0.21880
0.325;3.94988;0.21570
0.33;3.94655;0.21240
0.335;3.93924;0.20980
0.34;3.92823;0.20670
0.345;3.91420;0.20190
0.35;3.89752;0.20020
0.355;3.87852;0.19790
0.36;3.85765;0.19660
0.365;3.83531;0.19490
0.37;3.81182;0.19350
0.375;3.78749;0.19190
0.38;3.76273;0.19160
0.385;3.73781;0.19070
0.39;3.71292;0.18980
0.395;3.68829;0.18870
0.4;3.66412;0.18930
0.405;3.64048;0.18830
0.41;3.61746;0.18800
0.415;3.59513;0.18820
0.42;3.57358;0.18770
0.425;3.55278;0.18730
0.43;3.53279;0.18710
0.435;3.51360;0.18600
0.44;3.49523;0.18610
0.445;3.47763;0.18510
0.45;3.46078;0.18490
0.455;3.44478;0.18470
0.46;3.42960;0.18400
0.465;3.41517;0.18360
0.47;3.40152;0.18260
0.475;3.38858;0.18230
0.48;3.37631;0.18200
0.485;3.36472;0.18210
0.49;3.35372;0.18070
0.495;3.34333;0.17980
0.5;3.33350;0.17980
0.505;3.32415;0.17990
0.51;3.31530;0.17940
0.515;3.30698;0.17950
0.52;3.29911;0.17970
0.525;3.29165;0.17910
0.53;3.28460;0.17900
0.535;3.27796;0.17750
0.54;3.27168;0.17680
0.545;3.26576;0.17660
0.55;3.26016;0.17640
0.555;3.25487;0.17540
0.56;3.24989;0.17410
0.565;3.24523;0.17330
0.57;3.24085;0.17300
0.575;3.23671;0.17210
0.58;3.23278;0.17100
0.585;3.22909;0.17070
0.59;3.22560;0.17070
0.595;3.22231;0.17060
0.6;3.21921;0.16930
0.605;3.21631;0.16900
0.61;3.21358;0.16820
0.615;3.21103;0.16900
0.62;3.20863;0.16880
0.625;3.20639;0.16910
0.63;3.20431;0.16800
0.635;3.20239;0.16730
0.64;3.20060;0.16600
0.645;3.19893;0.16520
0.65;3.19738;0.16530
0.655;3.19596;0.16510
0.66;3.19467;0.16440
0.665;3.19347;0.16370
0.67;3.19235;0.16310
0.675;3.19135;0.16280
0.68;3.19044;0.16220
0.685;3.18960;0.16100
0.69;3.18882;0.16020
0.695;3.18810;0.15940
0.7;3.18744;0.15860
0.705;3.18685;0.15800
0.71;3.18631;0.15740
0.715;3.18583;0.15670
0.72;3.18540;0.15630
0.725;3.18504;0.15660
0.73;3.18471;0.15620
0.735;3.18444;0.15570
0.74;3.18423;0.15520
0.745;3.18407;0.15470
0.75;3.18397;0.15440
0.755;3.18389;0.15420
0.76;3.18386;0.15380
0.765;3.18384;0.15380
0.77;3.18385;0.15360
0.775;3.18389;0.15300
0.78;3.18396;0.15300
0.785;3.18404;0.15240
0.79;3.18414;0.15190
0.795;3.18428;0.15160
0.8;3.18443;0.15140
0.805;3.18461;0.15100
0.81;3.18480;0.15110
0.815;3.18501;0.15130
0.82;3.18523;0.15170
0.825;3.18546;0.15150
0.83;3.18570;0.15070
0.835;3.18593;0.15030
0.84;3.18617;0.15010
0.845;3.18641;0.15010
0.85;3.18666;0.15020
0.855;3.18692;0.15020
0.86;3.18718;0.14930
0.865;3.18743;0.14930
0.87;3.18769;0.14910
0.875;3.18795;0.14910
0.88;3.18822;0.14870
0.885;3.18848;0.14880
0.89;3.18874;0.14850
0.895;3.18899;0.14840
0.9;3.18922;0.14840
0.905;3.18946;0.14840
0.91;3.18969;0.14840
0.915;3.18991;0.14800
0.92;3.19012;0.14760
0.925;3.19033;0.14750
0.93;3.19052;0.14720
0.935;3.19070;0.14730
0.94;3.19087;0.14710
0.945;3.19101;0.14740
0.95;3.19114;0.14740
0.955;3.19126;0.14720
0.96;3.19136;0.14700
0.965;3.19145;0.14670
0.97;3.19153;0.14670
0.975;3.19159;0.14650
0.98;3.19164;0.14650
0.985;3.19168;0.14650
0.99;3.19170;0.14630
0.995;3.19172;0.14630
1.0;3.19173;0.14630
