epsilon;loss;accuracy
0.0;1.85462;0.47640
0.005;1.88397;0.45630
0.01;1.91186;0.43890
0.015;1.93848;0.42160
0.02;1.96390;0.40510
0.025;1.98821;0.38910
0.03;2.01150;0.37350
0.035;2.03386;0.36060
0.04;2.05538;0.34720
0.045;2.07616;0.33600
0.05;2.09630;0.32620
0.055;2.11591;0.31750
0.06;2.13510;0.30880
0.065;2.15396;0.29960
0.07;2.17261;0.29110
0.075;2.19116;0.28200
0.08;2.20968;0.27300
0.085;2.22824;0.26250
0.09;2.24685;0.25270
0.095;2.26551;0.24370
0.1;2.28420;0.23540
0.105;2.30289;0.22790
0.11;2.32156;0.22050
0.115;2.34017;0.21430
0.12;2.35871;0.20760
0.125;2.37716;0.20120
0.13;2.39551;0.19450
0.135;2.41376;0.18730
0.14;2.43188;0.18080
0.145;2.44989;0.17410
0.15;2.46776;0.16750
0.155;2.48551;0.16140
0.16;2.50312;0.15640
0.165;2.52058;0.15090
0.17;2.53789;0.14560
0.175;2.55505;0.14200
0.18;2.57205;0.13800
0.185;2.58888;0.13440
0.19;2.60554;0.13030
0.195;2.62202;0.12660
0.2;2.63833;0.12300
0.205;2.65445;0.11900
0.21;2.67038;0.11690
0.215;2.68611;0.11390
0.22;2.70164;0.11140
0.225;2.71695;0.10780
0.23;2.73206;0.10430
0.235;2.74696;0.10180
0.24;2.76162;0.10000
0.245;2.77606;0.09830
0.25;2.79028;0.09570
0.255;2.80425;0.09270
0.26;2.81799;0.09030
0.265;2.83149;0.08830
0.27;2.84474;0.08680
0.275;2.85774;0.08440
0.28;2.87047;0.08270
0.285;2.88295;0.08070
0.29;2.89517;0.07920
0.295;2.90712;0.07680
0.3;2.91880;0.07520
0.305;2.93022;0.07430
0.31;2.94137;0.07260
0.315;2.95225;0.07150
0.32;2.96286;0.07000
0.325;2.97321;0.06880
0.33;2.98327;0.06700
0.335;2.99306;0.06650
0.34;3.00258;0.06550
0.345;3.01183;0.06450
0.35;3.02080;0.06340
0.355;3.02951;0.06230
0.36;3.03795;0.06170
0.365;3.04613;0.06100
0.37;3.05405;0.05960
0.375;3.06170;0.05860
0.38;3.06910;0.05730
0.385;3.07625;0.05660
0.39;3.08314;0.05580
0.395;3.08979;0.05450
0.4;3.09619;0.05400
0.405;3.10235;0.05340
0.41;3.10826;0.05290
0.415;3.11394;0.05250
0.42;3.11939;0.05200
0.425;3.12463;0.05180
0.43;3.12965;0.05140
0.435;3.13446;0.05110
0.44;3.13905;0.05040
0.445;3.14345;0.05030
0.45;3.14765;0.05010
0.455;3.15166;0.05010
0.46;3.15548;0.05000
0.465;3.15911;0.05000
0.47;3.16257;0.05000
0.475;3.16585;0.05010
0.48;3.16894;0.05000
0.485;3.17188;0.05030
0.49;3.17464;0.05040
0.495;3.17725;0.05010
0.5;3.17970;0.05010
0.505;3.18201;0.04970
0.51;3.18417;0.04970
0.515;3.18618;0.04950
0.52;3.18807;0.04930
0.525;3.18984;0.04940
0.53;3.19149;0.04950
0.535;3.19301;0.04950
0.54;3.19442;0.04950
0.545;3.19572;0.04950
0.55;3.19691;0.04970
0.555;3.19800;0.04940
0.56;3.19899;0.04920
0.565;3.19987;0.04980
0.57;3.20066;0.04950
0.575;3.20136;0.04980
0.58;3.20198;0.04990
0.585;3.20252;0.05010
0.59;3.20297;0.05000
0.595;3.20334;0.04990
0.6;3.20363;0.05000
0.605;3.20386;0.04980
0.61;3.20401;0.05030
0.615;3.20409;0.05040
0.62;3.20411;0.05050
0.625;3.20406;0.05080
0.63;3.20396;0.05070
0.635;3.20381;0.05080
0.64;3.20360;0.05130
0.645;3.20333;0.05130
0.65;3.20303;0.05150
0.655;3.20269;0.05120
0.66;3.20231;0.05140
0.665;3.20189;0.05150
0.67;3.20143;0.05160
0.675;3.20093;0.05180
0.68;3.20040;0.05180
0.685;3.19985;0.05160
0.69;3.19926;0.05170
0.695;3.19865;0.05200
0.7;3.19802;0.05210
0.705;3.19737;0.05230
0.71;3.19670;0.05250
0.715;3.19602;0.05240
0.72;3.19533;0.05250
0.725;3.19463;0.05260
0.73;3.19393;0.05260
0.735;3.19322;0.05270
0.74;3.19250;0.05330
0.745;3.19179;0.05310
0.75;3.19108;0.05320
0.755;3.19037;0.05310
0.76;3.18967;0.05320
0.765;3.18897;0.05330
0.77;3.18828;0.05320
0.775;3.18760;0.05360
0.78;3.18693;0.05380
0.785;3.18626;0.05380
0.79;3.18561;0.05370
0.795;3.18497;0.05390
0.8;3.18434;0.05390
