epoch;accuracy;loss;val_accuracy;val_loss
0;0.41503999999046326;1.8119121575164794;0.4964999854564667;1.385266661643982
1;0.5225600000190734;1.5334117518234254;0.5720999836921692;1.2059013843536377
2;0.5667800000190735;1.4352966389465331;0.5864999890327454;1.1533880233764648
3;0.5988799999904633;1.3707526535797119;0.6103000044822693;1.090863823890686
4;0.614419999961853;1.3310137801361084;0.6065999865531921;1.113179326057434
5;0.6345399999618531;1.2954745838546753;0.6367999911308289;1.0314052104949951
6;0.6461999999809265;1.2724267237091065;0.6455000042915344;1.029503583908081
7;0.65474;1.2540329381179809;0.6452000141143799;1.0277910232543945
8;0.6613799999809266;1.240031646270752;0.6449999809265137;1.0101234912872314
9;0.667479999961853;1.2252065615844727;0.6500999927520752;1.0038378238677979
10;0.6758;1.2110521421051026;0.6603000164031982;0.9842032790184021
11;0.6784999999809265;1.2008848755264283;0.6568999886512756;0.9826281666755676
12;0.6843;1.1909511893081666;0.6682000160217285;0.9629149436950684
