epsilon;loss;accuracy
0.0;1.89893;0.52760
0.005;2.23928;0.33750
0.01;2.47942;0.24290
0.015;2.64272;0.19440
0.02;2.74665;0.17030
0.025;2.80372;0.16150
0.03;2.82415;0.16070
0.035;2.81620;0.16690
0.04;2.78623;0.17680
0.045;2.73975;0.19450
0.05;2.68133;0.21760
0.055;2.61526;0.24580
0.06;2.54457;0.27440
0.065;2.47199;0.30150
0.07;2.40000;0.33130
0.075;2.32996;0.36110
0.08;2.26353;0.38650
0.085;2.20135;0.41140
0.09;2.14404;0.43410
0.095;2.09230;0.45600
0.1;2.04648;0.47390
0.105;2.00688;0.49150
0.11;1.97396;0.50820
0.115;1.94757;0.52250
0.12;1.92697;0.53220
0.125;1.91187;0.53900
0.13;1.90227;0.54550
0.135;1.89774;0.55570
0.14;1.89793;0.55930
0.145;1.90294;0.56300
0.15;1.91301;0.56600
0.155;1.92846;0.56490
0.16;1.94941;0.56390
0.165;1.97549;0.55970
0.17;2.00694;0.55540
0.175;2.04372;0.54880
0.18;2.08575;0.54180
0.185;2.13315;0.53300
0.19;2.18547;0.52250
0.195;2.24242;0.51160
0.2;2.30347;0.50030
0.205;2.36854;0.48660
0.21;2.43725;0.47260
0.215;2.50928;0.45860
0.22;2.58450;0.44940
0.225;2.66230;0.43790
0.23;2.74209;0.42750
0.235;2.82358;0.41560
0.24;2.90698;0.40660
0.245;2.99194;0.39610
0.25;3.07831;0.38550
0.255;3.16598;0.37350
0.26;3.25480;0.36270
0.265;3.34493;0.35430
0.27;3.43631;0.34640
0.275;3.52893;0.33960
0.28;3.62272;0.33140
0.285;3.71769;0.32500
0.29;3.81385;0.31780
0.295;3.91125;0.31080
0.3;4.01009;0.30280
0.305;4.11037;0.29470
0.31;4.21184;0.28740
0.315;4.31462;0.27930
0.32;4.41869;0.27250
0.325;4.52391;0.26760
0.33;4.62994;0.26410
0.335;4.73695;0.25920
0.34;4.84497;0.25590
0.345;4.95378;0.25180
0.35;5.06299;0.24740
0.355;5.17276;0.24410
0.36;5.28306;0.23900
0.365;5.39367;0.23650
0.37;5.50457;0.23370
0.375;5.61568;0.23020
0.38;5.72697;0.22670
0.385;5.83835;0.22480
0.39;5.94976;0.22250
0.395;6.06132;0.22050
0.4;6.17286;0.21850
0.405;6.28419;0.21500
0.41;6.39531;0.21190
0.415;6.50626;0.21000
0.42;6.61688;0.20860
0.425;6.72705;0.20620
0.43;6.83694;0.20480
0.435;6.94647;0.20250
0.44;7.05556;0.20050
0.445;7.16412;0.19820
0.45;7.27215;0.19650
0.455;7.37970;0.19550
0.46;7.48639;0.19460
0.465;7.59240;0.19390
0.47;7.69780;0.19220
0.475;7.80242;0.19070
0.48;7.90617;0.18890
0.485;8.00901;0.18710
0.49;8.11100;0.18560
0.495;8.21195;0.18460
0.5;8.31201;0.18400
