epsilon;loss;accuracy
0.0;1.55312;0.62040
0.005;1.61584;0.58770
0.01;1.68008;0.55320
0.015;1.74565;0.52140
0.02;1.81236;0.49200
0.025;1.88002;0.45790
0.03;1.94846;0.42720
0.035;2.01753;0.39790
0.04;2.08704;0.36830
0.045;2.15683;0.34310
0.05;2.22677;0.32030
0.055;2.29671;0.29620
0.06;2.36651;0.27840
0.065;2.43606;0.25730
0.07;2.50523;0.23760
0.075;2.57390;0.22000
0.08;2.64199;0.20210
0.085;2.70941;0.18680
0.09;2.77607;0.17300
0.095;2.84188;0.16100
0.1;2.90676;0.14930
0.105;2.97066;0.13890
0.11;3.03354;0.13050
0.115;3.09533;0.12110
0.12;3.15599;0.11380
0.125;3.21548;0.10540
0.13;3.27376;0.09860
0.135;3.33078;0.09370
0.14;3.38653;0.08770
0.145;3.44097;0.08250
0.15;3.49406;0.07750
0.155;3.54579;0.07340
0.16;3.59616;0.06940
0.165;3.64517;0.06640
0.17;3.69281;0.06200
0.175;3.73907;0.05880
0.18;3.78393;0.05600
0.185;3.82741;0.05370
0.19;3.86952;0.05110
0.195;3.91028;0.04970
0.2;3.94966;0.04720
0.205;3.98769;0.04570
0.21;4.02441;0.04350
0.215;4.05983;0.04160
0.22;4.09393;0.04090
0.225;4.12672;0.03910
0.23;4.15826;0.03830
0.235;4.18854;0.03730
0.24;4.21758;0.03620
0.245;4.24543;0.03560
0.25;4.27209;0.03430
0.255;4.29759;0.03390
0.26;4.32193;0.03280
0.265;4.34514;0.03240
0.27;4.36724;0.03170
0.275;4.38822;0.03120
0.28;4.40814;0.03120
0.285;4.42698;0.03110
0.29;4.44480;0.03050
0.295;4.46159;0.02980
0.3;4.47739;0.02910
0.305;4.49224;0.02910
0.31;4.50616;0.02820
0.315;4.51913;0.02790
0.32;4.53118;0.02710
0.325;4.54233;0.02740
0.33;4.55258;0.02790
0.335;4.56198;0.02810
0.34;4.57054;0.02840
0.345;4.57827;0.02770
0.35;4.58517;0.02790
0.355;4.59128;0.02820
0.36;4.59661;0.02840
0.365;4.60115;0.02860
0.37;4.60494;0.02920
0.375;4.60800;0.02960
0.38;4.61034;0.03050
0.385;4.61196;0.03110
0.39;4.61288;0.03130
0.395;4.61314;0.03150
0.4;4.61275;0.03190
0.405;4.61173;0.03220
0.41;4.61010;0.03290
0.415;4.60788;0.03340
0.42;4.60508;0.03360
0.425;4.60170;0.03390
0.43;4.59778;0.03440
0.435;4.59331;0.03440
0.44;4.58835;0.03480
0.445;4.58289;0.03510
0.45;4.57695;0.03520
0.455;4.57055;0.03600
0.46;4.56372;0.03650
0.465;4.55648;0.03680
0.47;4.54884;0.03700
0.475;4.54080;0.03730
0.48;4.53241;0.03810
0.485;4.52369;0.03860
0.49;4.51463;0.03880
0.495;4.50526;0.03900
0.5;4.49561;0.03960
0.505;4.48570;0.03980
0.51;4.47555;0.03990
0.515;4.46516;0.04050
0.52;4.45457;0.04070
0.525;4.44377;0.04100
0.53;4.43279;0.04160
