epsilon;loss;accuracy
0.0;1.48331;0.59030
0.005;1.53968;0.56040
0.01;1.59718;0.53130
0.015;1.65566;0.50350
0.02;1.71500;0.47380
0.025;1.77507;0.44380
0.03;1.83574;0.41390
0.035;1.89690;0.38250
0.04;1.95841;0.35370
0.045;2.02016;0.32800
0.05;2.08202;0.30550
0.055;2.14388;0.28240
0.06;2.20564;0.26280
0.065;2.26721;0.24450
0.07;2.32852;0.22940
0.075;2.38947;0.21280
0.08;2.44998;0.19710
0.085;2.50997;0.18120
0.09;2.56938;0.16880
0.095;2.62812;0.15640
0.1;2.68616;0.14430
0.105;2.74342;0.13240
0.11;2.79984;0.12340
0.115;2.85536;0.11670
0.12;2.90997;0.10890
0.125;2.96360;0.10170
0.13;3.01623;0.09590
0.135;3.06781;0.09120
0.14;3.11834;0.08510
0.145;3.16779;0.08000
0.15;3.21611;0.07490
0.155;3.26331;0.07040
0.16;3.30938;0.06640
0.165;3.35429;0.06270
0.17;3.39802;0.05920
0.175;3.44060;0.05690
0.18;3.48203;0.05410
0.185;3.52228;0.05080
0.19;3.56135;0.04860
0.195;3.59926;0.04550
0.2;3.63602;0.04260
0.205;3.67163;0.04040
0.21;3.70608;0.03880
0.215;3.73940;0.03660
0.22;3.77158;0.03500
0.225;3.80263;0.03370
0.23;3.83258;0.03310
0.235;3.86145;0.03190
0.24;3.88925;0.03060
0.245;3.91599;0.02940
0.25;3.94169;0.02870
0.255;3.96637;0.02770
0.26;3.99003;0.02700
0.265;4.01270;0.02720
0.27;4.03441;0.02680
0.275;4.05514;0.02670
0.28;4.07491;0.02620
0.285;4.09374;0.02590
0.29;4.11165;0.02520
0.295;4.12865;0.02530
0.3;4.14475;0.02520
0.305;4.15995;0.02500
0.31;4.17426;0.02510
0.315;4.18768;0.02510
0.32;4.20024;0.02470
0.325;4.21197;0.02460
0.33;4.22288;0.02470
0.335;4.23297;0.02510
0.34;4.24225;0.02500
0.345;4.25073;0.02490
0.35;4.25842;0.02500
0.355;4.26535;0.02490
0.36;4.27154;0.02500
0.365;4.27700;0.02510
0.37;4.28174;0.02510
0.375;4.28580;0.02570
0.38;4.28920;0.02560
0.385;4.29192;0.02620
0.39;4.29400;0.02660
0.395;4.29547;0.02680
0.4;4.29631;0.02670
0.405;4.29655;0.02710
0.41;4.29620;0.02740
0.415;4.29530;0.02750
0.42;4.29387;0.02790
0.425;4.29191;0.02800
0.43;4.28943;0.02830
0.435;4.28647;0.02850
0.44;4.28302;0.02830
0.445;4.27911;0.02890
0.45;4.27477;0.02880
0.455;4.27002;0.02930
0.46;4.26487;0.02950
0.465;4.25936;0.02990
0.47;4.25348;0.03040
0.475;4.24726;0.03040
0.48;4.24073;0.03050
0.485;4.23391;0.03060
0.49;4.22682;0.03080
0.495;4.21948;0.03090
0.5;4.21188;0.03140
0.505;4.20408;0.03110
0.51;4.19607;0.03170
0.515;4.18788;0.03200
0.52;4.17952;0.03230
0.525;4.17101;0.03210
0.53;4.16238;0.03230
0.535;4.15362;0.03240
0.54;4.14474;0.03250
0.545;4.13577;0.03270
0.55;4.12671;0.03290
0.555;4.11759;0.03330
0.56;4.10842;0.03350
0.565;4.09920;0.03420
0.57;4.08995;0.03430
0.575;4.08068;0.03430
0.58;4.07139;0.03510
0.585;4.06211;0.03560
0.59;4.05284;0.03560
0.595;4.04360;0.03560
0.6;4.03440;0.03600
0.605;4.02524;0.03610
0.61;4.01612;0.03610
0.615;4.00707;0.03630
0.62;3.99806;0.03700
0.625;3.98914;0.03740
0.63;3.98029;0.03730
0.635;3.97153;0.03750
0.64;3.96287;0.03780
0.645;3.95432;0.03830
0.65;3.94588;0.03830
0.655;3.93755;0.03880
0.66;3.92935;0.03920
