epoch;accuracy;loss;val_accuracy;val_loss
0;0.38310000000953676;2.000241761932373;0.4602000117301941;1.5173245668411255
1;0.47194;1.7672943242263794;0.5099999904632568;1.3994183540344238
2;0.5094800000190735;1.6875409705352784;0.5077000260353088;1.3807309865951538
3;0.5404599999809265;1.6086557926940919;0.5648999810218811;1.2621737718582153
4;0.565419999961853;1.5241317805480956;0.5575000047683716;1.293757438659668
5;0.5986399999809265;1.424774260673523;0.5670999884605408;1.2166328430175781
6;0.620960000038147;1.3244708808898926;0.5515000224113464;1.2837142944335938
7;0.64434;1.2552912866592407;0.6078000068664551;1.1462759971618652
8;0.6570799999618531;1.2048572648239135;0.6255000233650208;1.1150351762771606
9;0.67224;1.1668467181587219;0.5486000180244446;1.3006490468978882
10;0.6813800000190735;1.1339892436218262;0.5396999716758728;1.3292014598846436
11;0.687540000038147;1.1025669055366516;0.6049000024795532;1.1715015172958374
12;0.696420000038147;1.0575972260284423;0.521399974822998;1.3801499605178833
13;0.701420000038147;1.017739590358734;0.5277000069618225;1.346036672592163
14;0.7033199999809265;0.9750765549087524;0.3846000134944916;1.8702939748764038
15;0.708959999961853;0.9387527361297607;0.49779999256134033;1.4502595663070679
16;0.713000000038147;0.9367110810089111;0.5376999974250793;1.372351884841919
17;0.7160400000381469;0.9366573966026306;0.5047000050544739;1.4361910820007324
18;0.720100000038147;0.9274639560508728;0.5023000240325928;1.4558641910552979
19;0.72374;0.9176151146697998;0.5543000102043152;1.332232117652893
20;0.72858;0.9009684323501587;0.5734000205993652;1.2431765794754028
21;0.7292199999809265;0.8894218260383606;0.5569000244140625;1.325695514678955
22;0.7324000000190735;0.8847138064193726;0.5354999899864197;1.3702446222305298
23;0.731760000038147;0.8584262112808227;0.5485000014305115;1.322882056236267
24;0.7378600000190735;0.848195083732605;0.5392000079154968;1.3377149105072021
25;0.7376800000190735;0.8336483526039123;0.5196999907493591;1.389150857925415
26;0.7365000000190735;0.8213203918075561;0.5307000279426575;1.359081506729126
27;0.737759999961853;0.8187920505142212;0.5539000034332275;1.3605579137802124
28;0.738699999961853;0.8107814850997925;0.5400000214576721;1.3734108209609985
29;0.740819999961853;0.8022611281204224;0.5275999903678894;1.3860270977020264
