epoch;accuracy;loss;val_accuracy;val_loss
0;0.43302;1.7841291593551636;0.4735;1.6555840549468994
1;0.56166;1.3839885096740723;0.5326;1.4950224250793458
2;0.61854;1.2069523235321045;0.5601;1.456348974609375
3;0.65374;1.0956756995773316;0.667;1.0629007904052734
4;0.68006;1.019898618144989;0.6494;1.1164056414604187
5;0.6944;0.972516992969513;0.6787;1.0333287633895873
6;0.7083;0.9251371002960205;0.6947;0.9773297481536866
7;0.7189;0.8961448221206665;0.6806;0.9896780025482178
8;0.72372;0.8644960304260254;0.6644;1.0719794031143188
9;0.73072;0.8460200176239013;0.7118;0.9136709928512573
10;0.74082;0.8232842911338806;0.6021;1.3339995458602905
11;0.74338;0.8060626400566101;0.7032;0.9606135465621948
12;0.74762;0.7955597678375245;0.6993;0.9734297213554383
13;0.7525;0.7788735868644714;0.7234;0.8944261662483215
14;0.75366;0.7711592358779907;0.7025;0.9576958636283874
15;0.762;0.7541749588775635;0.7089;0.9484056289672852
16;0.762;0.7498711782455444;0.7075;0.9408029823303222
17;0.76766;0.7371408969879151;0.694;1.0026008473396302
18;0.7704;0.7301759523200989;0.7117;0.9409871978759765
19;0.77232;0.7189301941299439;0.7057;0.9518271960258484
20;0.7765;0.7114187259101867;0.7045;0.9771796263694763
21;0.7753;0.7100297598266602;0.7185;0.8974749720573425
22;0.77738;0.7007832825660706;0.7063;0.9471056301116944
23;0.78014;0.6952519884872437;0.7157;0.9321845821380615
24;0.7825;0.6874024440002442;0.707;0.9798290908813476
25;0.78348;0.6867055188941955;0.7017;0.993518168258667
26;0.78538;0.6790078444099427;0.7155;0.928797168636322
27;0.7867;0.6739506101608277;0.7112;0.9255866539955139
28;0.78832;0.666964381942749;0.7224;0.8874535019874573
29;0.78856;0.663131399860382;0.6709;1.1532211016654967
30;0.79038;0.663522414932251;0.6491;1.2836341594696046
31;0.79182;0.6615395942306519;0.6986;0.9988035306930542
32;0.79244;0.656943097782135;0.7029;0.9796264301300048
33;0.78928;0.6597733715438843;0.6693;1.152591319847107
34;0.79468;0.6496521034812928;0.7277;0.8850725934028626
35;0.7934;0.651320973701477;0.7028;0.9962338497161866
36;0.79524;0.6450332185173034;0.7234;0.9196801004886627
37;0.79848;0.636566390209198;0.6945;1.0287848937034607
38;0.79796;0.6384515614318848;0.7071;1.001766019630432
39;0.79748;0.6419916646194458;0.6952;1.0237309518814086
40;0.80032;0.6328460602760315;0.7117;0.993128526878357
41;0.79802;0.6355501843833923;0.7133;0.9572945825576782
42;0.7991;0.6325675731563568;0.6988;1.026856051158905
43;0.8022;0.6259953796577453;0.7021;1.0389988841056823
44;0.80334;0.6233150481987;0.7356;0.8770404218673706
45;0.80282;0.6269694379806519;0.7276;0.9061707100868225
46;0.80192;0.6241662841415405;0.7174;0.9483372683525085
47;0.80638;0.6184302392959595;0.7333;0.89069006690979
48;0.80468;0.619909598274231;0.7074;0.9942041803359986
49;0.80552;0.6145273301124573;0.6631;1.2492375476837159
50;0.80088;0.6223697637176514;0.7286;0.8981683994293213
51;0.80446;0.6207352807998657;0.7091;0.9675347948074341
52;0.80476;0.617136842327118;0.7288;0.8837199193954468
53;0.80966;0.6085634065818787;0.5611;1.808454978942871
54;0.80742;0.6104801746368408;0.6922;1.096905986881256
55;0.80788;0.6095697808456421;0.7281;0.888934302520752
56;0.8123;0.6022654383087158;0.732;0.902124786567688
57;0.80824;0.607196044960022;0.726;0.9295029646873474
58;0.80828;0.6072088779830933;0.7134;0.9570278323173523
59;0.80974;0.6025263108062744;0.7141;0.9706320252418518
