epsilon;loss;accuracy
0.0;2.66650;0.65600
0.005;7.08010;0.24190
0.01;12.39078;0.07780
0.015;16.91246;0.05140
0.02;20.22341;0.04850
0.025;22.29346;0.04800
0.03;23.16239;0.04780
0.035;22.93605;0.04770
0.04;21.78391;0.04780
0.045;19.92647;0.04800
0.05;17.59587;0.04880
0.055;15.02087;0.05190
0.06;12.40411;0.05620
0.065;9.92152;0.06910
0.07;7.71758;0.10470
0.075;5.90068;0.17060
0.08;4.51005;0.27220
0.085;3.51297;0.39540
0.09;2.82967;0.51050
0.095;2.37467;0.61150
0.1;2.07283;0.68300
0.105;1.87057;0.73510
0.11;1.73282;0.77220
0.115;1.63662;0.79940
0.12;1.56807;0.82160
0.125;1.51884;0.83520
0.13;1.48322;0.84480
0.135;1.45755;0.85050
0.14;1.43961;0.85740
0.145;1.42738;0.86130
0.15;1.41940;0.86460
0.155;1.41479;0.86670
0.16;1.41302;0.86770
0.165;1.41374;0.86810
0.17;1.41657;0.86790
0.175;1.42126;0.86820
0.18;1.42772;0.86700
0.185;1.43569;0.86640
0.19;1.44490;0.86480
0.195;1.45535;0.86330
0.2;1.46697;0.85990
0.205;1.47967;0.85610
0.21;1.49335;0.85420
0.215;1.50803;0.85090
0.22;1.52371;0.84630
0.225;1.54022;0.84270
0.23;1.55742;0.83760
0.235;1.57540;0.83410
0.24;1.59423;0.82840
0.245;1.61394;0.82450
0.25;1.63451;0.82000
0.255;1.65596;0.81450
0.26;1.67824;0.81010
0.265;1.70138;0.80590
0.27;1.72534;0.80150
0.275;1.75003;0.79580
0.28;1.77529;0.79030
0.285;1.80123;0.78620
0.29;1.82797;0.78110
0.295;1.85540;0.77580
0.3;1.88351;0.77010
0.305;1.91219;0.76390
0.31;1.94134;0.75890
0.315;1.97100;0.75380
0.32;2.00129;0.74860
0.325;2.03210;0.74310
0.33;2.06342;0.73860
0.335;2.09522;0.73270
0.34;2.12740;0.72820
0.345;2.16003;0.72160
0.35;2.19300;0.71700
0.355;2.22635;0.71200
0.36;2.25999;0.70670
0.365;2.29382;0.70140
0.37;2.32784;0.69440
0.375;2.36212;0.68940
0.38;2.39663;0.68460
0.385;2.43131;0.68120
0.39;2.46622;0.67800
0.395;2.50145;0.67340
0.4;2.53695;0.66900
0.405;2.57264;0.66410
0.41;2.60859;0.65920
0.415;2.64475;0.65570
0.42;2.68108;0.65130
0.425;2.71764;0.64640
0.43;2.75434;0.64210
0.435;2.79125;0.63720
0.44;2.82823;0.63390
0.445;2.86531;0.62980
0.45;2.90248;0.62690
0.455;2.93974;0.62260
0.46;2.97701;0.61920
0.465;3.01429;0.61540
0.47;3.05168;0.61280
0.475;3.08916;0.61020
0.48;3.12666;0.60630
0.485;3.16413;0.60160
0.49;3.20165;0.59850
0.495;3.23911;0.59460
0.5;3.27647;0.59180
