epsilon;loss;accuracy
0.0;2.14891;0.66600
0.005;5.28448;0.24060
0.01;8.70700;0.07130
0.015;11.22353;0.02310
0.02;12.51162;0.01340
0.025;12.70882;0.01100
0.03;12.12387;0.01090
0.035;11.06192;0.01380
0.04;9.76537;0.02180
0.045;8.40500;0.03810
0.05;7.09299;0.06460
0.055;5.89957;0.11450
0.06;4.86344;0.19080
0.065;3.99744;0.29390
0.07;3.29569;0.40090
0.075;2.73983;0.49770
0.08;2.30583;0.58920
0.085;1.97374;0.67280
0.09;1.72353;0.73950
0.095;1.53838;0.79090
0.1;1.40230;0.83130
0.105;1.30194;0.85770
0.11;1.22810;0.87870
0.115;1.17408;0.89750
0.12;1.13476;0.90950
0.125;1.10666;0.91790
0.13;1.08678;0.92530
0.135;1.07348;0.93000
0.14;1.06566;0.93140
0.145;1.06227;0.93270
0.15;1.06240;0.93280
0.155;1.06565;0.93280
0.16;1.07179;0.93010
0.165;1.08105;0.92860
0.17;1.09382;0.92560
0.175;1.11004;0.92310
0.18;1.13039;0.91850
0.185;1.15591;0.91260
0.19;1.18711;0.90710
0.195;1.22414;0.89800
0.2;1.26828;0.88830
0.205;1.32040;0.87990
0.21;1.38109;0.86900
0.215;1.45189;0.85600
0.22;1.53299;0.84160
0.225;1.62604;0.82570
0.23;1.73198;0.81010
0.235;1.85133;0.79310
0.24;1.98524;0.77460
0.245;2.13495;0.75510
0.25;2.30183;0.73380
0.255;2.48702;0.71190
0.26;2.68990;0.69010
0.265;2.91088;0.67020
0.27;3.14977;0.65010
0.275;3.40674;0.62920
0.28;3.68235;0.60860
0.285;3.97580;0.58750
0.29;4.28700;0.56650
0.295;4.61599;0.54850
0.3;4.96126;0.53200
0.305;5.32198;0.51520
0.31;5.69757;0.49800
0.315;6.08655;0.47970
0.32;6.48866;0.46570
0.325;6.90277;0.45310
0.33;7.32775;0.43800
0.335;7.76318;0.42590
0.34;8.20779;0.41450
0.345;8.66135;0.40280
0.35;9.12356;0.39220
0.355;9.59362;0.38100
0.36;10.07126;0.37220
0.365;10.55508;0.36240
0.37;11.04437;0.35420
0.375;11.53871;0.34800
0.38;12.03709;0.34000
0.385;12.53862;0.33260
0.39;13.04328;0.32690
0.395;13.55110;0.32230
0.4;14.06121;0.31620
0.405;14.57246;0.31150
0.41;15.08573;0.30560
0.415;15.60050;0.30110
0.42;16.11657;0.29710
0.425;16.63304;0.29330
0.43;17.14945;0.28960
0.435;17.66549;0.28640
0.44;18.18073;0.28330
0.445;18.69513;0.27960
0.45;19.20878;0.27570
0.455;19.72138;0.27260
0.46;20.23222;0.26980
0.465;20.74187;0.26690
0.47;21.25040;0.26370
0.475;21.75673;0.26030
0.48;22.26071;0.25810
0.485;22.76274;0.25590
0.49;23.26260;0.25290
0.495;23.75913;0.25080
0.5;24.25284;0.24820
0.505;24.74395;0.24710
0.51;25.23203;0.24510
0.515;25.71579;0.24350
0.52;26.19625;0.24210
0.525;26.67285;0.24100
0.53;27.14448;0.23950
0.535;27.61187;0.23790
0.54;28.07522;0.23700
0.545;28.53438;0.23480
0.55;28.98787;0.23370
0.555;29.43716;0.23240
0.56;29.88210;0.23180
0.565;30.32254;0.22970
0.57;30.75733;0.22790
0.575;31.18744;0.22670
0.58;31.61308;0.22630
0.585;32.03417;0.22470
0.59;32.44961;0.22340
0.595;32.86016;0.22280
0.6;33.26564;0.22290
0.605;33.66470;0.22200
0.61;34.05905;0.22180
0.615;34.44817;0.22110
0.62;34.83170;0.21970
0.625;35.20915;0.21950
0.63;35.58117;0.21830
0.635;35.94782;0.21830
0.64;36.30823;0.21790
0.645;36.66336;0.21700
0.65;37.01295;0.21640
0.655;37.35691;0.21580
0.66;37.69454;0.21500
0.665;38.02638;0.21450
0.67;38.35247;0.21500
0.675;38.67238;0.21470
0.68;38.98620;0.21430
0.685;39.29418;0.21380
0.69;39.59606;0.21380
0.695;39.89039;0.21340
0.7;40.17871;0.21320
0.705;40.46130;0.21270
0.71;40.73764;0.21230
0.715;41.00744;0.21200
0.72;41.27142;0.21180
0.725;41.52980;0.21190
0.73;41.78201;0.21220
0.735;42.02769;0.21230
0.74;42.26745;0.21150
0.745;42.50186;0.21060
0.75;42.73000;0.21030
0.755;42.95238;0.20980
0.76;43.16883;0.20960
0.765;43.37884;0.20910
0.77;43.58247;0.20910
0.775;43.77998;0.20850
0.78;43.97144;0.20860
0.785;44.15649;0.20820
0.79;44.33520;0.20790
0.795;44.50846;0.20730
0.8;44.67629;0.20670
0.805;44.83766;0.20640
0.81;44.99351;0.20640
0.815;45.14380;0.20590
0.82;45.28857;0.20680
0.825;45.42766;0.20680
0.83;45.56165;0.20700
0.835;45.69054;0.20720
0.84;45.81364;0.20680
0.845;45.93154;0.20650
0.85;46.04446;0.20680
0.855;46.15251;0.20730
0.86;46.25486;0.20700
0.865;46.35247;0.20690
0.87;46.44575;0.20670
0.875;46.53399;0.20670
0.88;46.61690;0.20640
0.885;46.69522;0.20610
0.89;46.76938;0.20590
0.895;46.83817;0.20620
0.9;46.90290;0.20610
0.905;46.96365;0.20600
0.91;47.02030;0.20600
0.915;47.07269;0.20570
0.92;47.12148;0.20560
0.925;47.16638;0.20550
0.93;47.20720;0.20580
0.935;47.24473;0.20570
0.94;47.27918;0.20580
0.945;47.31054;0.20580
0.95;47.33824;0.20550
0.955;47.36284;0.20540
0.96;47.38460;0.20560
0.965;47.40330;0.20540
0.97;47.41911;0.20540
0.975;47.43251;0.20530
0.98;47.44355;0.20540
0.985;47.45225;0.20540
0.99;47.45899;0.20530
0.995;47.46365;0.20520
1.0;47.46618;0.20520
