epsilon;loss;accuracy
0.0;3.40766;0.64260
0.005;7.63632;0.32480
0.01;13.57294;0.15640
0.015;19.58049;0.13840
0.02;25.14046;0.13760
0.025;30.25476;0.13740
0.03;34.95957;0.13740
0.035;39.29081;0.13740
0.04;43.28215;0.13740
0.045;46.96782;0.13740
0.05;50.37442;0.13740
0.055;53.52774;0.13740
0.06;56.44879;0.13740
0.065;59.15816;0.13740
0.07;61.67449;0.13730
0.075;64.01259;0.13730
0.08;66.18650;0.13730
0.085;68.21067;0.13730
0.09;70.09559;0.13730
0.095;71.85161;0.13730
0.1;73.48895;0.13730
0.105;75.01637;0.13730
0.11;76.44293;0.13730
0.115;77.77572;0.13730
0.12;79.02254;0.13730
0.125;80.18958;0.13730
0.13;81.28182;0.13730
0.135;82.30519;0.13730
0.14;83.26506;0.13730
0.145;84.16601;0.13730
0.15;85.01095;0.13730
0.155;85.80421;0.13730
0.16;86.54924;0.13730
0.165;87.24869;0.13730
0.17;87.90513;0.13730
0.175;88.52148;0.13730
0.18;89.10028;0.13730
0.185;89.64437;0.13730
0.19;90.15575;0.13730
0.195;90.63678;0.13730
0.2;91.09020;0.13730
0.205;91.51674;0.13730
0.21;91.91870;0.13730
0.215;92.29738;0.13730
0.22;92.65379;0.13730
0.225;92.98877;0.13730
0.23;93.30359;0.13730
0.235;93.59930;0.13730
0.24;93.87684;0.13730
0.245;94.13723;0.13730
0.25;94.38107;0.13730
0.255;94.60960;0.13730
0.26;94.82325;0.13730
0.265;95.02289;0.13730
0.27;95.20960;0.13730
0.275;95.38368;0.13730
0.28;95.54552;0.13730
0.285;95.69618;0.13730
0.29;95.83642;0.13730
0.295;95.96647;0.13730
0.3;96.08652;0.13730
0.305;96.19745;0.13730
0.31;96.29973;0.13730
0.315;96.39332;0.13730
0.32;96.47959;0.13730
0.325;96.55820;0.13730
0.33;96.62896;0.13730
0.335;96.69307;0.13730
0.34;96.75055;0.13730
0.345;96.80150;0.13740
0.35;96.84469;0.13740
0.355;96.88162;0.13740
0.36;96.91265;0.13740
0.365;96.93803;0.13740
0.37;96.95751;0.13740
0.375;96.97229;0.13740
0.38;96.98219;0.13740
0.385;96.98688;0.13740
0.39;96.98696;0.13740
0.395;96.98270;0.13740
0.4;96.97430;0.13730
0.405;96.96036;0.13730
0.41;96.94165;0.13730
0.415;96.91880;0.13730
0.42;96.89142;0.13730
0.425;96.85977;0.13730
0.43;96.82409;0.13730
0.435;96.78478;0.13730
0.44;96.74155;0.13730
0.445;96.69480;0.13730
0.45;96.64450;0.13730
0.455;96.59109;0.13740
0.46;96.53425;0.13740
0.465;96.47428;0.13740
0.47;96.41175;0.13740
0.475;96.34655;0.13740
0.48;96.27880;0.13740
0.485;96.20960;0.13740
0.49;96.13828;0.13740
0.495;96.06426;0.13740
0.5;95.98784;0.13740
0.505;95.90983;0.13740
0.51;95.83037;0.13740
0.515;95.74838;0.13740
0.52;95.66453;0.13740
0.525;95.57945;0.13740
0.53;95.49269;0.13740
0.535;95.40417;0.13740
0.54;95.31480;0.13740
0.545;95.22434;0.13740
0.55;95.13219;0.13740
0.555;95.03887;0.13740
0.56;94.94466;0.13740
0.565;94.84898;0.13740
0.57;94.75232;0.13740
0.575;94.65484;0.13740
0.58;94.55702;0.13740
0.585;94.45845;0.13740
0.59;94.35974;0.13740
0.595;94.26081;0.13740
0.6;94.16231;0.13740
0.605;94.06319;0.13740
0.61;93.96415;0.13740
0.615;93.86527;0.13740
0.62;93.76679;0.13740
0.625;93.66874;0.13750
0.63;93.57128;0.13750
0.635;93.47466;0.13750
0.64;93.37898;0.13760
0.645;93.28368;0.13760
0.65;93.18908;0.13760
0.655;93.09509;0.13760
0.66;93.00135;0.13760
0.665;92.90846;0.13760
0.67;92.81619;0.13760
0.675;92.72499;0.13760
0.68;92.63453;0.13760
0.685;92.54480;0.13760
0.69;92.45568;0.13760
0.695;92.36738;0.13760
0.7;92.28001;0.13760
0.705;92.19417;0.13760
0.71;92.10970;0.13760
0.715;92.02674;0.13760
0.72;91.94531;0.13760
0.725;91.86524;0.13760
0.73;91.78637;0.13760
0.735;91.70917;0.13760
0.74;91.63378;0.13760
0.745;91.55970;0.13770
0.75;91.48708;0.13770
0.755;91.41585;0.13780
0.76;91.34633;0.13790
0.765;91.27870;0.13790
0.77;91.21288;0.13790
0.775;91.14900;0.13790
0.78;91.08695;0.13790
0.785;91.02699;0.13800
0.79;90.96887;0.13810
0.795;90.91258;0.13810
0.8;90.85778;0.13810
0.805;90.80500;0.13820
0.81;90.75386;0.13820
0.815;90.70419;0.13820
0.82;90.65636;0.13820
0.825;90.61019;0.13820
0.83;90.56558;0.13820
0.835;90.52302;0.13830
0.84;90.48207;0.13830
0.845;90.44270;0.13830
0.85;90.40521;0.13840
0.855;90.36975;0.13840
0.86;90.33611;0.13840
0.865;90.30415;0.13840
0.87;90.27384;0.13840
0.875;90.24537;0.13840
0.88;90.21863;0.13840
0.885;90.19357;0.13840
0.89;90.17012;0.13840
0.895;90.14827;0.13840
0.9;90.12827;0.13840
0.905;90.11008;0.13840
0.91;90.09335;0.13840
0.915;90.07810;0.13840
0.92;90.06408;0.13840
0.925;90.05117;0.13840
0.93;90.03955;0.13840
0.935;90.02918;0.13840
0.94;90.01988;0.13840
0.945;90.01163;0.13840
0.95;90.00460;0.13840
0.955;89.99861;0.13840
0.96;89.99366;0.13840
0.965;89.98975;0.13840
0.97;89.98680;0.13840
0.975;89.98463;0.13840
0.98;89.98318;0.13840
0.985;89.98236;0.13840
0.99;89.98187;0.13840
0.995;89.98156;0.13840
1.0;89.98110;0.13840
