epoch;accuracy;loss;val_accuracy;val_loss
0;0.4666800000190735;1.5009873263549804;0.5612999796867371;1.2626599073410034
1;0.6124600000190735;1.110560682067871;0.6327000260353088;1.0587165355682373
2;0.6726600000190734;0.951012875328064;0.6593999862670898;0.9876735806465149
3;0.7042599999809265;0.8573949848175049;0.6657999753952026;0.9771385788917542
4;0.7318600000190735;0.7764027561950684;0.6769999861717224;0.9464098811149597
5;0.7559;0.7083535976982117;0.6816999912261963;0.9365593791007996
6;0.774799999961853;0.6527427215576171;0.6782000064849854;0.9835275411605835
7;0.793199999961853;0.5992337434387207;0.6740000247955322;0.9847409129142761
8;0.8115600000190735;0.5472789308929443;0.6811000108718872;1.0004903078079224
9;0.8256200000190735;0.5071979006290436;0.6784999966621399;1.0361961126327515
10;0.840379999961853;0.45932036655426023;0.6740000247955322;1.0941020250320435
11;0.8534;0.42447381987571714;0.6674000024795532;1.1311684846878052
12;0.86356;0.3924860294532776;0.6682000160217285;1.2451560497283936
13;0.875279999961853;0.359092376537323;0.6621000170707703;1.301986813545227
14;0.8821400000190734;0.3343860878562927;0.6646999716758728;1.3070459365844727
15;0.893839999961853;0.30418637657165526;0.6592000126838684;1.432382583618164
16;0.902380000038147;0.27745905468940735;0.6545000076293945;1.4848324060440063
17;0.9100999999809265;0.25295013328552246;0.6509000062942505;1.5827220678329468
18;0.916360000038147;0.23489349794387818;0.6445000171661377;1.6936256885528564
19;0.9210199999809265;0.21954968754768373;0.6421999931335449;1.7666218280792236
20;0.9287200000190735;0.19969197200775146;0.6398000121116638;1.9580066204071045
21;0.933140000038147;0.18514905265808104;0.6391000151634216;1.9085808992385864
22;0.937199999961853;0.1762682946395874;0.6399000287055969;2.0118486881256104
23;0.9416399999809265;0.1600642366719246;0.6453999876976013;2.175478219985962
24;0.944880000038147;0.1510105141401291;0.6513000130653381;2.1694397926330566
25;0.952099999961853;0.13527121919631957;0.6439999938011169;2.2601518630981445
26;0.9469799999809265;0.14425585386276246;0.6428999900817871;2.343174934387207
27;0.953899999961853;0.12509695633888246;0.6385999917984009;2.444467782974243
28;0.9553399999809266;0.12174541278839111;0.6478000283241272;2.477360486984253
29;0.95668;0.11918605956077576;0.6388000249862671;2.5392937660217285
