epsilon;loss;accuracy
0.0;3.32205;0.64550
0.005;7.48357;0.32850
0.01;13.30561;0.15580
0.015;19.23937;0.13590
0.02;24.74273;0.13440
0.025;29.81085;0.13410
0.03;34.47868;0.13410
0.035;38.77807;0.13400
0.04;42.74009;0.13400
0.045;46.39528;0.13400
0.05;49.77085;0.13400
0.055;52.89075;0.13400
0.06;55.77518;0.13400
0.065;58.44533;0.13400
0.07;60.91803;0.13400
0.075;63.20998;0.13400
0.08;65.33535;0.13400
0.085;67.30781;0.13400
0.09;69.13877;0.13400
0.095;70.83954;0.13400
0.1;72.42038;0.13400
0.105;73.89025;0.13400
0.11;75.25680;0.13400
0.115;76.52776;0.13400
0.12;77.71086;0.13400
0.125;78.81298;0.13400
0.13;79.84035;0.13400
0.135;80.79768;0.13400
0.14;81.69085;0.13400
0.145;82.52521;0.13400
0.15;83.30454;0.13400
0.155;84.03332;0.13400
0.16;84.71602;0.13400
0.165;85.35494;0.13400
0.17;85.95270;0.13400
0.175;86.51276;0.13400
0.18;87.03751;0.13400
0.185;87.52921;0.13400
0.19;87.99002;0.13400
0.195;88.42276;0.13400
0.2;88.82854;0.13400
0.205;89.20829;0.13400
0.21;89.56519;0.13400
0.215;89.89956;0.13400
0.22;90.21299;0.13400
0.225;90.50593;0.13400
0.23;90.78046;0.13400
0.235;91.03776;0.13400
0.24;91.27825;0.13410
0.245;91.50329;0.13410
0.25;91.71372;0.13410
0.255;91.91074;0.13410
0.26;92.09383;0.13410
0.265;92.26459;0.13410
0.27;92.42395;0.13410
0.275;92.57209;0.13410
0.28;92.70918;0.13410
0.285;92.83650;0.13410
0.29;92.95439;0.13410
0.295;93.06233;0.13410
0.3;93.16094;0.13410
0.305;93.25142;0.13410
0.31;93.33409;0.13410
0.315;93.40878;0.13410
0.32;93.47725;0.13410
0.325;93.53939;0.13410
0.33;93.59504;0.13410
0.335;93.64404;0.13410
0.34;93.68746;0.13410
0.345;93.72566;0.13410
0.35;93.75772;0.13410
0.355;93.78461;0.13410
0.36;93.80662;0.13420
0.365;93.82390;0.13420
0.37;93.83621;0.13420
0.375;93.84436;0.13420
0.38;93.84841;0.13420
0.385;93.84806;0.13420
0.39;93.84335;0.13420
0.395;93.83416;0.13420
0.4;93.82118;0.13420
0.405;93.80332;0.13420
0.41;93.78199;0.13420
0.415;93.75775;0.13420
0.42;93.73013;0.13420
0.425;93.69894;0.13430
0.43;93.66497;0.13430
0.435;93.62833;0.13430
0.44;93.58853;0.13430
0.445;93.54587;0.13430
0.45;93.50111;0.13430
0.455;93.45390;0.13440
0.46;93.40374;0.13440
0.465;93.35129;0.13440
0.47;93.29685;0.13430
0.475;93.24032;0.13430
