epsilon;loss;accuracy
0.0;3.44631;0.64080
0.005;7.84570;0.32100
0.01;13.97457;0.15030
0.015;20.17794;0.13490
0.02;25.91291;0.13450
0.025;31.17998;0.13440
0.03;36.01159;0.13430
0.035;40.44137;0.13430
0.04;44.50081;0.13430
0.045;48.22352;0.13430
0.05;51.63933;0.13430
0.055;54.77541;0.13420
0.06;57.65614;0.13420
0.065;60.30478;0.13420
0.07;62.74255;0.13420
0.075;64.98779;0.13420
0.08;67.05649;0.13420
0.085;68.96465;0.13420
0.09;70.72673;0.13420
0.095;72.35471;0.13420
0.1;73.85914;0.13420
0.105;75.25130;0.13420
0.11;76.53934;0.13420
0.115;77.73089;0.13420
0.12;78.83563;0.13420
0.125;79.86021;0.13420
0.13;80.81064;0.13420
0.135;81.69187;0.13420
0.14;82.50941;0.13420
0.145;83.26711;0.13420
0.15;83.96843;0.13420
0.155;84.61921;0.13420
0.16;85.22352;0.13420
0.165;85.78415;0.13420
0.17;86.30406;0.13420
0.175;86.78673;0.13420
0.18;87.23407;0.13420
0.185;87.64813;0.13420
0.19;88.03166;0.13420
0.195;88.38805;0.13420
0.2;88.71781;0.13420
0.205;89.02218;0.13420
0.21;89.30338;0.13420
0.215;89.56260;0.13420
0.22;89.80121;0.13420
0.225;90.01979;0.13420
0.23;90.22058;0.13420
0.235;90.40482;0.13420
0.24;90.57288;0.13420
0.245;90.72609;0.13420
0.25;90.86548;0.13420
0.255;90.99138;0.13420
0.26;91.10389;0.13420
0.265;91.20463;0.13420
0.27;91.29490;0.13420
0.275;91.37479;0.13420
0.28;91.44449;0.13420
0.285;91.50487;0.13420
0.29;91.55645;0.13420
0.295;91.59922;0.13420
0.3;91.63396;0.13420
0.305;91.66116;0.13420
0.31;91.68128;0.13430
0.315;91.69408;0.13440
0.32;91.70036;0.13440
0.325;91.70054;0.13440
0.33;91.69479;0.13440
0.335;91.68334;0.13440
0.34;91.66713;0.13440
0.345;91.64614;0.13440
0.35;91.61955;0.13440
0.355;91.58768;0.13440
0.36;91.55137;0.13440
0.365;91.51137;0.13440
0.37;91.46700;0.13440
0.375;91.41877;0.13440
0.38;91.36696;0.13440
0.385;91.31164;0.13440
0.39;91.25241;0.13440
0.395;91.19021;0.13440
0.4;91.12565;0.13440
0.405;91.05730;0.13440
0.41;90.98639;0.13440
0.415;90.91305;0.13440
0.42;90.83703;0.13450
0.425;90.75781;0.13450
0.43;90.67593;0.13450
0.435;90.59180;0.13450
0.44;90.50493;0.13450
0.445;90.41495;0.13450
0.45;90.32310;0.13460
0.455;90.22942;0.13470
0.46;90.13343;0.13470
0.465;90.03594;0.13470
0.47;89.93646;0.13470
0.475;89.83507;0.13470
0.48;89.73142;0.13470
0.485;89.62648;0.13470
0.49;89.52044;0.13470
0.495;89.41258;0.13480
0.5;89.30344;0.13480
0.505;89.19342;0.13490
0.51;89.08264;0.13490
0.515;88.97049;0.13490
0.52;88.85780;0.13490
0.525;88.74436;0.13490
0.53;88.63009;0.13490
0.535;88.51518;0.13490
0.54;88.40042;0.13490
0.545;88.28577;0.13490
0.55;88.17033;0.13490
0.555;88.05510;0.13490
0.56;87.94006;0.13500
0.565;87.82483;0.13510
0.57;87.70937;0.13510
0.575;87.59371;0.13510
0.58;87.47807;0.13510
0.585;87.36226;0.13510
0.59;87.24660;0.13510
0.595;87.13146;0.13510
0.6;87.01640;0.13510
0.605;86.90192;0.13520
0.61;86.78852;0.13520
0.615;86.67601;0.13520
0.62;86.56426;0.13520
0.625;86.45326;0.13520
0.63;86.34258;0.13520
0.635;86.23263;0.13520
0.64;86.12355;0.13520
0.645;86.01522;0.13530
0.65;85.90787;0.13550
0.655;85.80150;0.13550
0.66;85.69623;0.13550
0.665;85.59221;0.13550
0.67;85.48928;0.13550
0.675;85.38730;0.13550
0.68;85.28659;0.13550
0.685;85.18724;0.13550
0.69;85.08878;0.13570
0.695;84.99159;0.13570
0.7;84.89654;0.13570
0.705;84.80335;0.13570
0.71;84.71199;0.13570
0.715;84.62254;0.13590
0.72;84.53498;0.13600
0.725;84.44931;0.13600
0.73;84.36581;0.13600
0.735;84.28399;0.13600
0.74;84.20361;0.13610
0.745;84.12457;0.13610
0.75;84.04764;0.13610
0.755;83.97248;0.13600
0.76;83.89930;0.13600
0.765;83.82822;0.13600
0.77;83.75924;0.13600
0.775;83.69174;0.13610
0.78;83.62581;0.13610
0.785;83.56192;0.13610
0.79;83.49991;0.13610
0.795;83.43961;0.13610
0.8;83.38076;0.13610
0.805;83.32366;0.13620
0.81;83.26791;0.13620
0.815;83.21402;0.13620
0.82;83.16243;0.13620
0.825;83.11276;0.13620
0.83;83.06506;0.13620
0.835;83.01907;0.13620
0.84;82.97473;0.13620
0.845;82.93238;0.13620
0.85;82.89193;0.13620
0.855;82.85348;0.13620
0.86;82.81693;0.13620
0.865;82.78197;0.13620
0.87;82.74878;0.13630
0.875;82.71764;0.13630
0.88;82.68843;0.13630
0.885;82.66089;0.13630
0.89;82.63509;0.13640
0.895;82.61073;0.13640
0.9;82.58806;0.13640
0.905;82.56694;0.13640
0.91;82.54753;0.13640
0.915;82.52976;0.13640
0.92;82.51359;0.13640
0.925;82.49888;0.13640
0.93;82.48570;0.13640
0.935;82.47402;0.13640
0.94;82.46352;0.13640
0.945;82.45421;0.13640
0.95;82.44632;0.13640
0.955;82.43927;0.13640
0.96;82.43318;0.13640
0.965;82.42843;0.13640
0.97;82.42477;0.13640
0.975;82.42196;0.13640
0.98;82.41988;0.13640
0.985;82.41846;0.13640
0.99;82.41747;0.13640
0.995;82.41681;0.13640
1.0;82.41625;0.13640
