epsilon;loss;accuracy
0.0;1.51172;0.66740
0.005;4.60152;0.13490
0.01;7.66098;0.02220
0.015;9.61917;0.00690
0.02;10.40249;0.00390
0.025;10.12443;0.00480
0.03;8.99276;0.01110
0.035;7.29951;0.03830
0.04;5.41608;0.13850
0.045;3.73254;0.32560
0.05;2.49469;0.53290
0.055;1.70890;0.69810
0.06;1.24521;0.80650
0.065;0.97933;0.87250
0.07;0.82566;0.91670
0.075;0.73360;0.93950
0.08;0.67557;0.95280
0.085;0.63744;0.96270
0.09;0.61142;0.96990
0.095;0.59313;0.97430
0.1;0.57998;0.97880
0.105;0.57026;0.98130
0.11;0.56305;0.98310
0.115;0.55763;0.98420
0.12;0.55365;0.98500
0.125;0.55082;0.98590
0.13;0.54891;0.98610
0.135;0.54766;0.98620
0.14;0.54687;0.98610
0.145;0.54653;0.98620
0.15;0.54662;0.98590
0.155;0.54703;0.98590
0.16;0.54772;0.98580
0.165;0.54873;0.98500
0.17;0.55002;0.98460
0.175;0.55165;0.98390
0.18;0.55356;0.98310
0.185;0.55581;0.98230
0.19;0.55829;0.98170
0.195;0.56106;0.98110
0.2;0.56404;0.98030
0.205;0.56724;0.97970
0.21;0.57072;0.97870
0.215;0.57449;0.97760
0.22;0.57854;0.97640
0.225;0.58288;0.97530
0.23;0.58751;0.97450
0.235;0.59244;0.97310
0.24;0.59766;0.97130
0.245;0.60315;0.96950
0.25;0.60889;0.96820
0.255;0.61494;0.96560
0.26;0.62128;0.96430
0.265;0.62792;0.96250
0.27;0.63482;0.96050
0.275;0.64204;0.95820
0.28;0.64955;0.95540
0.285;0.65733;0.95310
0.29;0.66539;0.95150
0.295;0.67374;0.94900
0.3;0.68229;0.94730
0.305;0.69108;0.94480
0.31;0.70013;0.94220
0.315;0.70951;0.93990
0.32;0.71917;0.93820
0.325;0.72908;0.93630
0.33;0.73928;0.93240
0.335;0.74969;0.93010
0.34;0.76025;0.92840
0.345;0.77101;0.92610
0.35;0.78199;0.92310
0.355;0.79321;0.92000
0.36;0.80463;0.91780
0.365;0.81626;0.91530
0.37;0.82803;0.91290
0.375;0.84001;0.91090
0.38;0.85224;0.90780
0.385;0.86469;0.90490
0.39;0.87730;0.90180
0.395;0.89011;0.89930
0.4;0.90309;0.89730
0.405;0.91622;0.89420
0.41;0.92946;0.89190
0.415;0.94283;0.88930
0.42;0.95625;0.88770
0.425;0.96981;0.88530
0.43;0.98348;0.88320
0.435;0.99728;0.88090
0.44;1.01118;0.87820
0.445;1.02521;0.87490
0.45;1.03943;0.87260
0.455;1.05364;0.87020
0.46;1.06784;0.86840
0.465;1.08217;0.86630
0.47;1.09665;0.86490
0.475;1.11129;0.86290
0.48;1.12593;0.85920
0.485;1.14059;0.85630
0.49;1.15522;0.85380
0.495;1.16985;0.85220
0.5;1.18447;0.85020
0.505;1.19906;0.84730
0.51;1.21370;0.84480
0.515;1.22842;0.84340
0.52;1.24316;0.84070
0.525;1.25794;0.83870
0.53;1.27265;0.83650
0.535;1.28729;0.83430
0.54;1.30191;0.83290
0.545;1.31650;0.83110
0.55;1.33110;0.82910
0.555;1.34568;0.82700
0.56;1.36026;0.82490
0.565;1.37484;0.82230
0.57;1.38945;0.82010
0.575;1.40405;0.81830
0.58;1.41871;0.81720
0.585;1.43329;0.81540
0.59;1.44782;0.81300
0.595;1.46223;0.81110
0.6;1.47656;0.81030
0.605;1.49078;0.80890
0.61;1.50489;0.80740
0.615;1.51884;0.80480
0.62;1.53264;0.80290
0.625;1.54633;0.80150
0.63;1.56001;0.80030
0.635;1.57348;0.79830
0.64;1.58675;0.79720
0.645;1.59987;0.79560
0.65;1.61284;0.79410
0.655;1.62568;0.79260
0.66;1.63836;0.79110
0.665;1.65092;0.78960
0.67;1.66339;0.78840
0.675;1.67577;0.78720
0.68;1.68794;0.78610
0.685;1.69995;0.78530
0.69;1.71188;0.78380
0.695;1.72369;0.78260
0.7;1.73533;0.78060
0.705;1.74687;0.77920
0.71;1.75820;0.77760
0.715;1.76928;0.77660
0.72;1.78026;0.77560
0.725;1.79114;0.77490
0.73;1.80184;0.77350
